country,coordinates,type,vei,year
Japan,"[31.93, 130.87]",Shield volcano,2.0,1970-01-01
Indonesia,"[-7.32, 107.73]",Stratovolcano,1.0,1970-01-01
Indonesia,"[-8.342, 115.508]",Stratovolcano,5.0,1970-01-01
Indonesia,"[-8.108, 112.92]",Stratovolcano,2.0,1970-01-01
Philippines,"[14.002, 120.993]",Stratovolcano,4.0,1970-01-01
Iceland,"[63.43, -20.28]",Submarine volcano,3.0,1970-01-01
Indonesia,"[2.78, 125.48]",Stratovolcano,3.0,1970-01-01
United States,"[19.425, -155.292]",Shield volcano,0.0,1970-01-01
Indonesia,"[-8.108, 112.92]",Stratovolcano,3.0,1970-01-01
Indonesia,"[-7.942, 112.95]",Stratovolcano,2.0,1970-01-01
United States,"[52.18, -175.5]",Stratovolcano,3.0,1970-01-01
United States,"[56.88, -158.17]",Caldera,6.0,1969-12-31
Iceland,"[63.98, -19.7]",Stratovolcano,3.0,1970-01-01
Italy,"[37.734, 15.004]",Stratovolcano,3.0,1970-01-01
Italy,"[40.821, 14.426]",Complex volcano,3.0,1970-01-01
Japan,"[35.35, 138.73]",Stratovolcano,4.0,1970-01-01
Indonesia,"[-7.2, 109.92]",Complex volcano,2.0,1970-01-01
Italy,"[37.734, 15.004]",Stratovolcano,2.0,1970-01-01
Indonesia,"[0.8, 127.325]",Stratovolcano,2.0,1970-01-01
Italy,"[40.821, 14.426]",Complex volcano,2.0,1970-01-01
United States,"[19.425, -155.292]",Shield volcano,2.0,1970-01-01
Japan,"[36.4, 138.53]",Complex volcano,3.0,1970-01-01
Philippines,"[13.257, 123.685]",Stratovolcano,2.0,1970-01-01
United States,"[53.13, -168.68]",Stratovolcano,2.0,1970-01-01
Indonesia,"[-8.242, 115.375]",Caldera,2.0,1970-01-01
Indonesia,"[-8.88, 121.63]",Stratovolcano,3.0,1970-01-01
Indonesia,"[-8.108, 112.92]",Stratovolcano,3.0,1970-01-01
Japan,"[32.88, 131.1]",Caldera,2.0,1970-01-01
Ecuador,"[-1.467, -78.442]",Stratovolcano,3.0,1970-01-01
Japan,"[42.07, 140.68]",Stratovolcano,5.0,1970-01-01
Japan,"[32.45, 139.77]",Stratovolcano,3.0,1970-01-01
Indonesia,"[3.67, 125.5]",Stratovolcano,3.0,1970-01-01
Indonesia,"[0.686, 99.539]",Stratovolcano,2.0,1970-01-01
Japan,"[36.4, 138.53]",Complex volcano,1.0,1970-01-01
Japan,"[36.4, 138.53]",Complex volcano,2.0,1970-01-01
Indonesia,"[-7.2, 109.92]",Complex volcano,2.0,1970-01-01
Japan,"[34.73, 139.38]",Stratovolcano,1.0,1970-01-01
Japan,"[32.88, 131.1]",Caldera,2.0,1970-01-01
Philippines,"[15.13, 120.35]",Stratovolcano,6.0,1970-01-01
Philippines,"[15.13, 120.35]",Stratovolcano,1.0,1970-01-01
Papua New Guinea,"[-4.1, 145.061]",Stratovolcano,3.0,1970-01-01
Iceland,"[63.63, -19.05]",Subglacial volcano,4.0,1970-01-01
Indonesia,"[-7.542, 110.442]",Stratovolcano,4.0,1970-01-01
Indonesia,"[-7.93, 112.308]",Stratovolcano,2.0,1970-01-01
Iceland,"[64.63, -17.53]",Stratovolcano,1.0,1970-01-01
Ecuador,"[-0.677, -78.436]",Stratovolcano,3.0,1970-01-01
Indonesia,"[0.8, 127.325]",Stratovolcano,3.0,1970-01-01
Indonesia,"[1.358, 124.792]",Stratovolcano,3.0,1970-01-01
Philippines,"[13.257, 123.685]",Stratovolcano,3.0,1970-01-01
Philippines,"[14.002, 120.993]",Stratovolcano,2.0,1970-01-01
Indonesia,"[-6.102, 105.423]",Caldera,6.0,1970-01-01
Indonesia,"[-8.108, 112.92]",Stratovolcano,2.0,1970-01-01
United States,"[19.475, -155.608]",Shield volcano,0.0,1970-01-01
Indonesia,"[-7.2, 109.92]",Complex volcano,1.0,1970-01-01
Japan,"[32.1, 139.85]",Submarine volcano,2.0,1970-01-01
Philippines,"[17.32, 121.1]",Compound volcano,1.0,1970-01-01
Indonesia,"[-8.108, 112.92]",Stratovolcano,3.0,1970-01-01
Italy,"[38.789, 15.213]",Stratovolcano,2.0,1970-01-01
Ecuador,"[-1.467, -78.442]",Stratovolcano,3.0,1970-01-01
Ecuador,"[-0.85, -78.9]",Caldera,6.0,1970-01-01
United States,"[59.37, -153.42]",Lava dome,4.0,1970-01-01
Papua New Guinea,"[-5.358, 147.12]",Complex volcano,6.0,1970-01-01
Indonesia,"[-7.93, 112.308]",Stratovolcano,2.0,1970-01-01
Philippines,"[7.67, 124.5]",Stratovolcano,2.0,1970-01-01
Japan,"[30.48, 140.32]",Stratovolcano,3.0,1970-01-01
Indonesia,"[-8.108, 112.92]",Stratovolcano,2.0,1970-01-01
Indonesia,"[-7.93, 112.308]",Stratovolcano,4.0,1970-01-01
Guatemala,"[14.473, -90.88]",Stratovolcano,3.0,1970-01-01
Philippines,"[13.257, 123.685]",Stratovolcano,3.0,1970-01-01
Indonesia,"[-8.108, 112.92]",Stratovolcano,3.0,1970-01-01
Indonesia,"[-0.381, 100.473]",Complex volcano,2.0,1970-01-01
Italy,"[38.789, 15.213]",Stratovolcano,2.0,1970-01-01
Papua New Guinea,"[-4.1, 145.061]",Stratovolcano,4.0,1970-01-01
Italy,"[37.734, 15.004]",Stratovolcano,2.0,1970-01-01
Guatemala,"[14.381, -90.601]",Complex volcano,3.0,1970-01-01
Japan,"[31.93, 130.87]",Shield volcano,3.0,1970-01-01
Japan,"[36.4, 138.53]",Complex volcano,1.0,1970-01-01
Indonesia,"[-7.2, 109.92]",Complex volcano,2.0,1970-01-01
United States,"[19.692, -155.87]",Shield volcano,0.0,1970-01-01
Iceland,"[64.42, -17.33]",Caldera,2.0,1970-01-01
Papua New Guinea,"[-4.271, 152.203]",Pyroclastic shield,3.0,1970-01-01
Indonesia,"[-7.93, 112.308]",Stratovolcano,3.0,1970-01-01
Philippines,"[14.002, 120.993]",Stratovolcano,3.0,1970-01-01
Indonesia,"[-8.108, 112.92]",Stratovolcano,2.0,1970-01-01
Japan,"[42.53, 140.83]",Stratovolcano,2.0,1970-01-01
Iceland,"[63.98, -19.7]",Stratovolcano,4.0,1970-01-01
Italy,"[37.734, 15.004]",Stratovolcano,2.0,1970-01-01
Indonesia,"[-7.25, 108.05]",Stratovolcano,4.0,1970-01-01
Iceland,"[63.63, -19.05]",Subglacial volcano,3.0,1970-01-01
Iceland,"[63.98, -19.7]",Stratovolcano,4.0,1970-01-01
Japan,"[32.88, 131.1]",Caldera,2.0,1970-01-01
Japan,"[36.4, 138.53]",Complex volcano,2.0,1970-01-01
United States,"[52.82, -169.95]",Stratovolcano,3.0,1970-01-01
Japan,"[32.1, 139.85]",Submarine volcano,2.0,1970-01-01
Papua New Guinea,"[-5.52, 148.121]",Stratovolcano,1.0,1970-01-01
Japan,"[34.08, 139.53]",Stratovolcano,3.0,1970-01-01
Italy,"[37.734, 15.004]",Stratovolcano,3.0,1970-01-01
Japan,"[32.88, 131.1]",Caldera,2.0,1970-01-01
Italy,"[37.734, 15.004]",Stratovolcano,2.0,1970-01-01
Indonesia,"[-8.108, 112.92]",Stratovolcano,3.0,1970-01-01
Guatemala,"[14.473, -90.88]",Stratovolcano,2.0,1970-01-01
Italy,"[38.789, 15.213]",Stratovolcano,2.0,1970-01-01
Papua New Guinea,"[-5.58, 150.52]",Caldera,6.0,1969-12-31
Papua New Guinea,"[-5.58, 150.52]",Caldera,6.0,1970-01-01
Philippines,"[13.257, 123.685]",Stratovolcano,3.0,1970-01-01
Indonesia,"[-7.542, 110.442]",Stratovolcano,4.0,1970-01-01
Iceland,"[63.63, -19.05]",Subglacial volcano,4.0,1970-01-01
Italy,"[38.789, 15.213]",Stratovolcano,2.0,1970-01-01
Japan,"[32.1, 139.85]",Submarine volcano,2.0,1970-01-01
Indonesia,"[-7.542, 110.442]",Stratovolcano,3.0,1970-01-01
Iceland,"[63.98, -19.7]",Stratovolcano,3.0,1970-01-01
Indonesia,"[-8.32, 121.708]",Stratovolcano,2.0,1970-01-01
Indonesia,"[-7.542, 110.442]",Stratovolcano,3.0,1970-01-01
Japan,"[36.22, 137.58]",Stratovolcano,1.0,1970-01-01
Ecuador,"[-1.467, -78.442]",Stratovolcano,3.0,1970-01-01
Guatemala,"[14.473, -90.88]",Stratovolcano,2.0,1970-01-01
Iceland,"[64.0, -16.65]",Stratovolcano,4.0,1970-01-01
Indonesia,"[-7.93, 112.308]",Stratovolcano,3.0,1970-01-01
United States,"[19.475, -155.608]",Shield volcano,2.0,1970-01-01
Indonesia,"[-8.53, 122.775]",Stratovolcano,2.0,1970-01-01
Papua New Guinea,"[-5.056, 150.108]",Caldera,2.0,1970-01-01
Japan,"[37.62, 140.28]",Stratovolcano,2.0,1970-01-01
Indonesia,"[-7.542, 110.442]",Stratovolcano,2.0,1970-01-01
Indonesia,"[-8.53, 122.775]",Stratovolcano,2.0,1970-01-01
Indonesia,"[3.67, 125.5]",Stratovolcano,2.0,1970-01-01
Japan,"[36.4, 138.53]",Complex volcano,3.0,1970-01-01
Philippines,"[13.257, 123.685]",Stratovolcano,2.0,1970-01-01
Indonesia,"[1.358, 124.858]",Stratovolcano,2.0,1970-01-01
Indonesia,"[-8.32, 121.708]",Stratovolcano,2.0,1970-01-01
United States,"[61.3, -152.25]",Stratovolcano,4.0,1970-01-01
Guatemala,"[14.381, -90.601]",Complex volcano,1.0,1970-01-01
Papua New Guinea,"[-5.58, 150.52]",Caldera,6.0,1969-12-31
Italy,"[40.821, 14.426]",Complex volcano,3.0,1970-01-01
Italy,"[37.734, 15.004]",Stratovolcano,3.0,1970-01-01
Iceland,"[64.63, -17.53]",Stratovolcano,1.0,1970-01-01
Indonesia,"[-8.125, 114.042]",Stratovolcano,3.0,1970-01-01
Ecuador,"[-0.677, -78.436]",Stratovolcano,3.0,1970-01-01
Philippines,"[14.002, 120.993]",Stratovolcano,3.0,1970-01-01
Indonesia,"[-7.93, 112.308]",Stratovolcano,2.0,1970-01-01
Philippines,"[13.257, 123.685]",Stratovolcano,3.0,1970-01-01
Italy,"[37.734, 15.004]",Stratovolcano,2.0,1970-01-01
Japan,"[30.48, 140.32]",Stratovolcano,2.0,1970-01-01
Indonesia,"[2.78, 125.48]",Stratovolcano,2.0,1970-01-01
Japan,"[36.4, 138.53]",Complex volcano,2.0,1970-01-01
Japan,"[34.73, 139.38]",Stratovolcano,2.0,1970-01-01
Japan,"[32.88, 131.1]",Caldera,2.0,1970-01-01
Japan,"[32.88, 131.1]",Caldera,1.0,1970-01-01
Italy,"[37.734, 15.004]",Stratovolcano,3.0,1970-01-01
Philippines,"[12.77, 124.05]",Stratovolcano,2.0,1970-01-01
Philippines,"[15.13, 120.35]",Stratovolcano,6.0,1969-12-31
Iceland,"[63.63, -19.05]",Subglacial volcano,3.0,1970-01-01
Indonesia,"[-8.125, 114.042]",Stratovolcano,4.0,1970-01-01
Iceland,"[64.42, -17.33]",Caldera,2.0,1970-01-01
Iceland,"[63.98, -19.7]",Stratovolcano,4.0,1970-01-01
Italy,"[40.821, 14.426]",Complex volcano,3.0,1970-01-01
Japan,"[32.88, 131.1]",Caldera,2.0,1970-01-01
Indonesia,"[-8.058, 114.242]",Stratovolcano,2.0,1970-01-01
Japan,"[41.8, 141.17]",Stratovolcano,1.0,1970-01-01
Indonesia,"[3.138, 125.491]",Submarine volcano,2.0,1970-01-01
United States,"[58.27, -155.16]",Caldera,6.0,1970-01-01
